# T_N..O.,T_r..O.,T_N..R.,T_r..R.
8,0.721890032,17,0.922934494
12,0.851679354,24,0.828997685
32,0.698586719,32,0.780725807
126,0.681152182,177,0.763508789
141,0.701088742,51,0.750404422
8,0.73782079,15,0.703904904
24,0.713921386,24,0.681560537
80,0.768651993,40,0.652982567
32,0.570693584,32,0.652730428
82,0.593405778,88,0.609913782
32,0.685347348,26,0.527307869
36,0.52450217,36,0.524539034
4,0.496363588,5,0.505151268
119,0.20996855,238,0.500179963
30,0.649955571,24,0.497082522
37,0.623367433,38,0.480717115
22,0.672084167,30,0.466443576
39,0.304772411,47,0.434510306
24,0.445652636,38,0.423363806
40,0.374787884,95,0.411336583
32,0.560499145,21,0.401939168
24,0.594960462,32,0.395843475
32,0.378068955,71,0.379573968
12,0.551178255,18,0.349791589
173,0.28771881,140,0.322727228
40,0.516812354,40,0.315999964
28,0.344312999,61,0.28970838
154,0.363732358,49,0.284274426
24,0.348120689,63,0.2733272
50,0.3,50,0.27
18,0.595271914,22,0.25414164
31,0.38,43,0.25
95,0.195136354,242,0.24687812
24,0.611120054,24,0.229604631
59,0.333441051,120,0.225764222
52,0.503449638,150,0.217562252
14,0.722536382,19,0.207514339
37,0.322574106,120,0.2
25,0.246947019,30,0.179397898
48,0.483442318,48,0.177837588
67,0.347251138,75,0.161063754
46,0.259958534,70,0.15539539
98,0.208058463,109,0.155043132
70,0.352175067,180,0.150236955
24,0.594605285,29,0.148340453
16,0.160955695,20,0.14406846
32,0.461300742,48,0.134811802
100,0.715143728,15,0.131411981
12,0.130782132,12,0.120519146
8,0.859552403,8,0.120073568
85,0.212014281,140,0.118808574
82,0.425496777,71,0.11385379
70,0.43,16,0.11
684,0.00464002,3597,0.105891025
86,0.222330235,158,0.104941786
32,0.341773488,91,0.103261105
30,0.498149178,58,0.102355162
68,0.366615713,153,0.101709161
133,0.20573686,113,0.094021673
280,0.554427187,144,0.091162691
48,0.178477629,118,0.08323764
48,0.377126878,75,0.076700677
71,0.274010238,148,0.073797292
375,0.222131584,177,0.073353737
57,0.229852265,71,0.066130007
18,0.219359299,32,0.064661345
57,0.172960188,78,0.061707156
261,0.207643072,251,0.04449582
84,0.233776428,125,0.044266281
186,0.167288593,280,0.03675175
163,0.139816632,304,0.0294047
230047,0.022542373,455326,0.023841537
96,0.224092029,108,0.019422053
236,0.127392361,1146,0.018376516
208,0.188662549,318,0.018283411
28,0.371775163,66,0.017674908
55,0.395559206,51,0.013045451
45,0.431865646,135,0.011721165
122,0.185849827,226,0.003001488
43,0.400010244,126,0.002839798
110,0.219666896,222,-0.004719346
240,0.228739615,270,-0.006108358
208,0.188662549,263,-0.030172295
36,0.378345294,88,-0.030485538
53,0.31,72,-0.034
36,0.384260399,70,-0.034279559
90,0.378274916,1490,-0.036935346
103,0.379139495,83,-0.042140104
115,0.21368683,166,-0.048918238
100,0.225490086,200,-0.052290282
94,0.268278965,141,-0.101637251
48,0.561422534,33,-0.110614348
91,0.317462994,76,-0.1351
56,0.28378815,51,-0.175454592
25,0.424979665,32,-0.215243835
36,0.381744212,47,-0.222920955
32,0.501799075,8,-0.450187899
